category,path
Ireland,/Local/Regional Content/Western Europe/Ireland
Italy,/Local/Regional Content/Western Europe/Italy
Netherlands,/Local/Regional Content/Western Europe/Netherlands
Portugal,/Local/Regional Content/Western Europe/Portugal
Spain,/Local/Regional Content/Western Europe/Spain
Sweden,/Local/Regional Content/Western Europe/Sweden
United Kingdom,/Local/Regional Content/Western Europe/United Kingdom
Traffic & Public Transit,/Local/Traffic & Public Transit
Weather,/Local/Weather
News & Current Events,/News & Current Events
Business News,/News & Current Events/Business News
Gossip & Tabloids,/News & Current Events/Gossip & Tabloids
Local News,/News & Current Events/Local News
Magazines,/News & Current Events/Magazines
News Networks,/News & Current Events/News Networks
Newspapers,/News & Current Events/Newspapers
Politics,/News & Current Events/Politics
Conservative Sites & Organizations,/News & Current Events/Politics/Conservative Sites & Organizations
Elections & Campaigns,/News & Current Events/Politics/Elections & Campaigns
Liberal Sites & Organizations,/News & Current Events/Politics/Liberal Sites & Organizations
Technology News,/News & Current Events/Technology News
Photo & Video,/Photo & Video
Photo & Video Equipment,/Photo & Video/Photo & Video Equipment
Cameras & Camcorders,/Photo & Video/Photo & Video Equipment/Cameras & Camcorders
Camcorders,/Photo & Video/Photo & Video Equipment/Cameras & Camcorders/Camcorders
Cameras,/Photo & Video/Photo & Video Equipment/Cameras & Camcorders/Cameras
Photo & Video Sharing,/Photo & Video/Photo & Video Sharing
Photo & Video Software,/Photo & Video/Photo & Video Software
Professional Photo & Video Services,/Photo & Video/Professional Photo & Video Services
Stock Photography,/Photo & Video/Stock Photography
Webcams & Virtual Tours,/Photo & Video/Webcams & Virtual Tours
Real Estate,/Real Estate
Home Financing,/Real Estate/Home Financing
Home Inspections & Appraisal,/Real Estate/Home Inspections & Appraisal
Home Insurance,/Real Estate/Home Insurance
Property Management,/Real Estate/Property Management
Real Estate Agencies,/Real Estate/Real Estate Agencies
Rental Listings & Referrals,/Real Estate/Rental Listings & Referrals
Recreation,/Recreation
Boating,/Recreation/Boating
Cycling,/Recreation/Cycling
Equestrian,/Recreation/Equestrian
Hobbies,/Recreation/Hobbies
Crafts,/Recreation/Hobbies/Crafts
Paintball,/Recreation/Hobbies/Paintball
Radio Control & Modeling,/Recreation/Hobbies/Radio Control & Modeling
Outdoors,/Recreation/Outdoors
Fishing,/Recreation/Outdoors/Fishing
Hiking & Camping,/Recreation/Outdoors/Hiking & Camping
Hunting & Shooting,/Recreation/Outdoors/Hunting & Shooting
Running,/Recreation/Running
Surf & Swim,/Recreation/Surf & Swim
Reference,/Reference
Biographies & Quotations,/Reference/Biographies & Quotations
Business & Personal Listings,/Reference/Business & Personal Listings
Calculators & Reference Tools,/Reference/Calculators & Reference Tools
Dictionaries & Encyclopedias,/Reference/Dictionaries & Encyclopedias
Educational Resources,/Reference/Educational Resources
Forms Guides & Templates,/Reference/Forms Guides & Templates
How-To & Expert Content,/Reference/How-To & Expert Content
Language Study & Translation,/Reference/Language Study & Translation
Libraries & Museums,/Reference/Libraries & Museums
Maps & Geography,/Reference/Maps & Geography
Online Directories,/Reference/Online Directories
Time & Calendars,/Reference/Time & Calendars
Science,/Science
Astronomy,/Science/Astronomy
Biological Sciences,/Science/Biological Sciences
Anatomy,/Science/Biological Sciences/Anatomy
Chemistry,/Science/Chemistry
Ecology,/Science/Ecology
Geology,/Science/Geology
Marine Science,/Science/Marine Science
Mathematics,/Science/Mathematics
Physics,/Science/Physics
Scientific Equipment,/Science/Scientific Equipment
Scientific Institutions,/Science/Scientific Institutions
Shopping,/Shopping
Antiques & Collectibles,/Shopping/Antiques & Collectibles
Apparel,/Shopping/Apparel
Clothing Labels & Designers,/Shopping/Apparel/Clothing Labels & Designers
Clothing Retailers,/Shopping/Apparel/Clothing Retailers
Footwear,/Shopping/Apparel/Footwear
Lingerie & Undergarments,/Shopping/Apparel/Lingerie & Undergarments
T-Shirts,/Shopping/Apparel/T-Shirts
Watches & Accessories,/Shopping/Apparel/Watches & Accessories
Auctions,/Shopping/Auctions
Consumer Affairs & Product Reviews,/Shopping/Consumer Affairs & Product Reviews
Consumer Affairs,/Shopping/Consumer Affairs & Product Reviews/Consumer Affairs
Price Comparisons,/Shopping/Consumer Affairs & Product Reviews/Price Comparisons
Product Reviews,/Shopping/Consumer Affairs & Product Reviews/Product Reviews
Coupons & Rebates,/Shopping/Coupons & Rebates
Customer Services,/Shopping/Customer Services
Warranties & Service Contracts,/Shopping/Customer Services/Warranties & Service Contracts
Flowers Gifts & Greetings,/Shopping/Flowers Gifts & Greetings
Cards & Greetings,/Shopping/Flowers Gifts & Greetings/Cards & Greetings
Flowers,/Shopping/Flowers Gifts & Greetings/Flowers
Gifts,/Shopping/Flowers Gifts & Greetings/Gifts
Parties & Occasions,/Shopping/Flowers Gifts & Greetings/Parties & Occasions
Luxury Goods,/Shopping/Luxury Goods
Gems & Jewelry,/Shopping/Luxury Goods/Gems & Jewelry
Mass Merchants & Department Stores,/Shopping/Mass Merchants & Department Stores
Shopping Portals & Search Engines,/Shopping/Shopping Portals & Search Engines
Ticket Sales,/Shopping/Ticket Sales
Tobacco Products,/Shopping/Tobacco Products
Social Networks & Online Communities,/Social Networks & Online Communities
Blogging Resources & Services,/Social Networks & Online Communities/Blogging Resources & Services
Dating & Relationships,/Social Networks & Online Communities/Dating & Relationships
Matrimonial Services,/Social Networks & Online Communities/Dating & Relationships/Matrimonial Services
Personals,/Social Networks & Online Communities/Dating & Relationships/Personals
Photo Rating Sites,/Social Networks & Online Communities/Dating & Relationships/Photo Rating Sites
Forum & Chat Providers,/Social Networks & Online Communities/Forum & Chat Providers
Online Journals & Personal Sites,/Social Networks & Online Communities/Online Journals & Personal Sites
Social Networks,/Social Networks & Online Communities/Social Networks
Society,/Society
Education,/Society/Education
Colleges & Universities,/Society/Education/Colleges & Universities
Distance Learning,/Society/Education/Distance Learning
Homeschooling,/Society/Education/Homeschooling
K-12,/Society/Education/K-12
Lesson Plans & Teaching Resources,/Society/Education/Lesson Plans & Teaching Resources
Test Preparation,/Society/Education/Test Preparation
Vocational & Continuing Education,/Society/Education/Vocational & Continuing Education
Government & Regulatory Bodies,/Society/Government & Regulatory Bodies
Royalty,/Society/Government & Regulatory Bodies/Royalty
Visa & Immigration,/Society/Government & Regulatory Bodies/Visa & Immigration
Labor & Unions,/Society/Labor & Unions
Legal,/Society/Legal
Accident & Personal Injury Law,/Society/Legal/Accident & Personal Injury Law
Bankruptcy,/Society/Legal/Bankruptcy
Criminal Law,/Society/Legal/Criminal Law
Family Law,/Society/Legal/Family Law
Intellectual Property,/Society/Legal/Intellectual Property
Labor & Employment Law,/Society/Legal/Labor & Employment Law
Law Schools & Training,/Society/Legal/Law Schools & Training
Military,/Society/Military
Veterans,/Society/Military/Veterans
Public Safety,/Society/Public Safety
Crime & Justice,/Society/Public Safety/Crime & Justice
Emergency Services,/Society/Public Safety/Emergency Services
Law Enforcement,/Society/Public Safety/Law Enforcement
Security Products & Services,/Society/Public Safety/Security Products & Services
Social Science,/Society/Social Science
Demographics,/Society/Social Science/Demographics
Economics,/Society/Social Science/Economics
International Relations,/Society/Social Science/International Relations
Psychology,/Society/Social Science/Psychology
Social Services,/Society/Social Services
Counseling Services,/Society/Social Services/Counseling Services
Welfare & Unemployment,/Society/Social Services/Welfare & Unemployment
Sports,/Sports
Baseball,/Sports/Baseball
Basketball,/Sports/Basketball
Cheerleading,/Sports/Cheerleading
Combat Sports,/Sports/Combat Sports
Boxing,/Sports/Combat Sports/Boxing
Martial Arts,/Sports/Combat Sports/Martial Arts
Wrestling,/Sports/Combat Sports/Wrestling
Cricket,/Sports/Cricket
Extreme Sports,/Sports/Extreme Sports
Football,/Sports/Football
Golf,/Sports/Golf
Gymnastics,/Sports/Gymnastics
Hockey,/Sports/Hockey
Horse & Dog Racing,/Sports/Horse & Dog Racing
Motor Sports,/Sports/Motor Sports
Olympics & International Competitions,/Sports/Olympics & International Competitions
Racquet Sports,/Sports/Racquet Sports
Rugby,/Sports/Rugby
Soccer,/Sports/Soccer
Sporting Goods,/Sports/Sporting Goods
Sports Magazines,/Sports/Sports Magazines
Track & Field,/Sports/Track & Field
Volleyball,/Sports/Volleyball
Water Sports,/Sports/Water Sports
Winter Sports,/Sports/Winter Sports
Telecommunications,/Telecommunications
Communications Equipment,/Telecommunications/Communications Equipment
Location & Tracking (GIS-GPS),/Telecommunications/Location & Tracking (GIS-GPS)
Mobile & Wireless,/Telecommunications/Mobile & Wireless
Mobile & Wireless Retailers,/Telecommunications/Mobile & Wireless/Mobile & Wireless Retailers
Mobile Phones,/Telecommunications/Mobile & Wireless/Mobile Phones
Ringtones & Mobile Goodies,/Telecommunications/Mobile & Wireless/Ringtones & Mobile Goodies
Service Providers,/Telecommunications/Service Providers
Cable & Satellite Providers,/Telecommunications/Service Providers/Cable & Satellite Providers
ISPs,/Telecommunications/Service Providers/ISPs
Phone Service Providers,/Telecommunications/Service Providers/Phone Service Providers
Calling Cards,/Telecommunications/Service Providers/Phone Service Providers/Calling Cards
Teleconferencing,/Telecommunications/Teleconferencing
VOIP & Internet Telephony,/Telecommunications/VOIP & Internet Telephony
Travel,/Travel
Adventure Travel,/Travel/Adventure Travel
Air Travel,/Travel/Air Travel
Attractions & Activities,/Travel/Attractions & Activities
Bus & Rail,/Travel/Bus & Rail
Car Rental & Taxi Services,/Travel/Car Rental & Taxi Services
Cruises & Charters,/Travel/Cruises & Charters
Hotels & Accommodations,/Travel/Hotels & Accommodations
Vacation Destinations,/Travel/Vacation Destinations
Australia,/Travel/Vacation Destinations/Australia
Caribbean Islands,/Travel/Vacation Destinations/Caribbean Islands
Hawaii,/Travel/Vacation Destinations/Hawaii
Hong Kong,/Travel/Vacation Destinations/Hong Kong
Las Vegas,/Travel/Vacation Destinations/Las Vegas
Mexico,/Travel/Vacation Destinations/Mexico
New York City,/Travel/Vacation Destinations/New York City
Orlando,/Travel/Vacation Destinations/Orlando
